[INFO] [1751983376.770950240] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.05] | Desired: [1.00, 1.00, 3.00] | Motors: [1127, 1127, 1133, 1121]
[INFO] [1751983378.819653232] [Feedback_Linearization_Controller]: Pos: [-0.43, -2.20, 2.13] | Desired: [1.00, 1.00, 3.00] | Motors: [160, 100, 100, 124]
[INFO] [1751983378.836515484] [Feedback_Linearization_Controller]: Pos: [-0.44, -2.27, 2.06] | Desired: [1.00, 1.00, 3.00] | Motors: [155, 100, 100, 120]
[INFO] [1751983378.853532115] [Feedback_Linearization_Controller]: Pos: [-0.45, -2.34, 1.99] | Desired: [1.00, 1.00, 3.00] | Motors: [149, 100, 100, 115]
[INFO] [1751983378.870631323] [Feedback_Linearization_Controller]: Pos: [-0.46, -2.41, 1.91] | Desired: [1.00, 1.00, 3.00] | Motors: [143, 100, 100, 111]
[INFO] [1751983378.887589996] [Feedback_Linearization_Controller]: Pos: [-0.48, -2.48, 1.83] | Desired: [1.00, 1.00, 3.00] | Motors: [135, 100, 100, 105]
[INFO] [1751983378.904665701] [Feedback_Linearization_Controller]: Pos: [-0.49, -2.56, 1.75] | Desired: [1.00, 1.00, 3.00] | Motors: [128, 100, 100, 100]
[INFO] [1751983378.921764999] [Feedback_Linearization_Controller]: Pos: [-0.50, -2.63, 1.67] | Desired: [1.00, 1.00, 3.00] | Motors: [120, 100, 100, 100]
[INFO] [1751983378.939361973] [Feedback_Linearization_Controller]: Pos: [-0.51, -2.70, 1.58] | Desired: [1.00, 1.00, 3.00] | Motors: [113, 100, 100, 100]
[INFO] [1751983378.956288486] [Feedback_Linearization_Controller]: Pos: [-0.52, -2.77, 1.49] | Desired: [1.00, 1.00, 3.00] | Motors: [103, 100, 100, 100]
[INFO] [1751983378.974355775] [Feedback_Linearization_Controller]: Pos: [-0.54, -2.84, 1.40] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 100, 100, 100]
[INFO] [1751983378.991839546] [Feedback_Linearization_Controller]: Pos: [-0.55, -2.91, 1.31] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 100, 100, 100]
[INFO] [1751983379.008572198] [Feedback_Linearization_Controller]: Pos: [-0.56, -2.98, 1.21] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 100, 100, 100]
[INFO] [1751983379.025098682] [Feedback_Linearization_Controller]: Pos: [-0.57, -3.05, 1.11] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 100, 100, 100]
[INFO] [1751983379.042384100] [Feedback_Linearization_Controller]: Pos: [-0.58, -3.12, 1.00] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 100, 100, 100]
[INFO] [1751983379.059499154] [Feedback_Linearization_Controller]: Pos: [-0.59, -3.19, 0.90] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 100, 100, 100]
[INFO] [1751983379.076783582] [Feedback_Linearization_Controller]: Pos: [-0.61, -3.26, 0.79] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 100, 100, 100]
[INFO] [1751983379.093954408] [Feedback_Linearization_Controller]: Pos: [-0.62, -3.33, 0.67] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 109, 100, 100]
[INFO] [1751983379.117645517] [Feedback_Linearization_Controller]: Pos: [-0.63, -3.40, 0.57] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 100, 100, 100]
[INFO] [1751983379.135083689] [Feedback_Linearization_Controller]: Pos: [-0.64, -3.46, 0.46] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 123, 100, 100]
[INFO] [1751983379.148678827] [Feedback_Linearization_Controller]: Pos: [-0.65, -3.53, 0.35] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 120, 100, 100]
[INFO] [1751983379.163708396] [Feedback_Linearization_Controller]: Pos: [-0.64, -3.60, 0.31] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.179881265] [Feedback_Linearization_Controller]: Pos: [-0.63, -3.67, 0.30] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.197863611] [Feedback_Linearization_Controller]: Pos: [-0.62, -3.73, 0.29] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983379.213508450] [Feedback_Linearization_Controller]: Pos: [-0.60, -3.80, 0.28] | Desired: [1.00, 1.00, 3.00] | Motors: [1493, 1500, 1500, 1500]
[INFO] [1751983379.230353162] [Feedback_Linearization_Controller]: Pos: [-0.58, -3.86, 0.26] | Desired: [1.00, 1.00, 3.00] | Motors: [1345, 1428, 1391, 1383]
[INFO] [1751983379.247427996] [Feedback_Linearization_Controller]: Pos: [-0.56, -3.92, 0.25] | Desired: [1.00, 1.00, 3.00] | Motors: [1255, 1348, 1305, 1299]
[INFO] [1751983379.264456329] [Feedback_Linearization_Controller]: Pos: [-0.54, -3.98, 0.24] | Desired: [1.00, 1.00, 3.00] | Motors: [1203, 1306, 1258, 1253]
[INFO] [1751983379.288539945] [Feedback_Linearization_Controller]: Pos: [-0.52, -4.03, 0.23] | Desired: [1.00, 1.00, 3.00] | Motors: [1179, 1273, 1229, 1225]
[INFO] [1751983379.305933464] [Feedback_Linearization_Controller]: Pos: [-0.50, -4.08, 0.22] | Desired: [1.00, 1.00, 3.00] | Motors: [1181, 1287, 1238, 1233]
[INFO] [1751983379.321806196] [Feedback_Linearization_Controller]: Pos: [-0.47, -4.14, 0.21] | Desired: [1.00, 1.00, 3.00] | Motors: [1206, 1320, 1269, 1260]
[INFO] [1751983379.335886156] [Feedback_Linearization_Controller]: Pos: [-0.45, -4.18, 0.21] | Desired: [1.00, 1.00, 3.00] | Motors: [1185, 1289, 1237, 1239]
[INFO] [1751983379.352608124] [Feedback_Linearization_Controller]: Pos: [-0.42, -4.23, 0.23] | Desired: [1.00, 1.00, 3.00] | Motors: [1163, 1251, 1200, 1215]
[INFO] [1751983379.369624468] [Feedback_Linearization_Controller]: Pos: [-0.40, -4.27, 0.25] | Desired: [1.00, 1.00, 3.00] | Motors: [1206, 1292, 1243, 1257]
